title,abstract
The Diagnostic and Therapeutic Role of Leptin and Its Receptor ObR in Glioblastoma Multiforme,"Leptin has been recognized as a potential tumor growth promoter in various cancers including cranial tumor pathologies such as pituitary adenomas, meningiomas and gliomas. Despite recent advances in adjunctive therapy and the established surgical resection, chemo- and radiotherapy regimen, glioblastoma multiforme remains a particular diagnostic and therapeutic challenge among the intracranial tumor pathologies, with a poor long-term prognosis. Systemic inflammation and immune-metabolic signaling through diverse pathways are thought to impact the genesis and recurrence of brain tumors, and glioblastoma multiforme in particular. Among the various circulating mediators, leptin has gained especial diagnostic and therapeutic interest, although the precise relationship between leptin and glioblastoma biology remains largely unknown. In this narrative review (MEDLINE/OVID, SCOPUS, PubMed and manual searches of the bibliographies of known primary and review articles), we discuss the current literature using the following search terms: leptin, glioblastoma multiforme, carcinogenesis, immunometabolism, biomarkers, metformin, antidiabetic medication and metabolic disorders. An increasing body of experimental evidence implicates a relationship between the development and maintenance of gliomas (and brain tumors in general) with a dysregulated central and peripheral immune-metabolic network mediated by circulating adipokines, chemokines and cellular components, and in particular the leptin adipokine. In this review, we summarize the current evidence of the role of leptin in glioblastoma pathophysiology. In addition, we describe the status of alternative diagnostic tools and adjunctive therapeutics targeting leptin, leptin-receptors, antidiabetic drugs and associated pathways. Further experimental and clinical trials are needed to elucidate the mechanism of action and the value of immune-metabolism molecular phenotyping (central and peripheral) in order to develop novel adjunctive diagnostics and therapeutics for newly diagnosed and recurrent glioblastoma patients. "
Waveform Design for Space–Time Coded MIMO Systems with High Secrecy Protection ,"In this paper, we present a new secrecy-enhancing scheme for multi-input-multi-output (MIMO) systems using a space–time coding scheme. We adopt a quasi-orthogonal space–time block coding (QO-STBC) scheme that was originally designed to improve the performance of the MIMO system, and propose an efficient waveform design that can enhance the secrecy, as well as improve the error rate performance. Channel- and signal-dependent artificial interference (AI) is added to the proposed waveform, so that only a legitimate receiver can successfully retrieve information. We investigate the secrecy capacity of the proposed scheme, and demonstrate that the proposed scheme provides highly enhanced secrecy performance, compared to the conventional schemes. The performance simulation results reveal that the transmitted information can be properly extracted only at the legitimate receiver.  "
Management of Radial Nerve Lesions after Trauma or Iatrogenic Nerve Injury: Autologous Grafts and Neurolysis,"Background: Proximal radial nerve lesions located between the brachial plexus and its division into the superficial and deep branches are rare but severe injuries. The majority of these lesions occur in association with humerus fractures, directly during trauma or later during osteosynthesis for fracture treatment. Diagnostics and surgical interventions are often delayed. The best type of surgical treatment and the outcome to be expected often is uncertain. Methods: Twelve patients with proximal radial nerve lesions due to trauma or prior surgery were included in this study and underwent neurolysis (n "
THE EVOLUTION OF THE GALAXY STELLAR MASS FUNCTION AT z,"The Astrophysical Journal, 825(2016) 5. doi:10.3847/0004-637X/825/1/5 "
"Global Autozygosity Is Associated with Cancer Risk, Mutational Signature and Prognosis","Global autozygosity quantifies the genome-wide levels of homozygous and heterozygous variants. It is the signature of non-random reproduction, though it can also be driven by other factors, and has been used to assess risk in various diseases. However, the association between global autozygosity and cancer risk has not been studied. From 4057 cancer subjects and 1668 healthy controls, we found strong associations between global autozygosity and risk in ten different cancer types. For example, the heterozygosity ratio was found to be significantly associated with breast invasive carcinoma in Blacks and with male skin cutaneous melanoma in Caucasians. We also discovered eleven associations between global autozygosity and mutational signatures which can explain a portion of the etiology. Furthermore, four significant associations for heterozygosity ratio were revealed in disease-specific survival analyses. This study demonstrates that global autozygosity is effective for cancer risk assessment. "
Bibliometric Analysis of Literature Published on Antibacterial Dental Adhesive from 1996–2020,"This study aimed to investigate the current state of research on antibacterial dental adhesives. The interest in this field can be drawn from an increasing number of scholarly works in this area. However, there is still a lack of quantitative measurement of this topic. The main aim of this study was to consolidate the research published on the antibacterial adhesive from 1996 to 2020 in Web of Science indexed journals. The bibliometric method, a quantitative study of investigating publishing trends and patterns, was used for this study. The result has shown that a gradual increase in research was found, whereby a substantial increase was observed from 2013. A total of 248 documents were published in 84 journals with total citations of 5107. The highly cited articles were published mainly in Q1 category journals. Most of the published articles were from the USA, China, and other developed countries; however, some developing countries contributed as well. The authorship pattern showed an interdisciplinary and collaborative approach among researchers. The thematic evaluation of keywords along with a three-factor analysis showed that ‘antibacterial adhesives’ and ‘quaternary ammonium’ have been used commonly. This bibliometric analysis can provide direction not only to researchers but also to funding organizations and policymakers. "
Metformin Protects against Podocyte Injury in Diabetic Kidney Disease,"Metformin is the most commonly prescribed drug for treating type 2 diabetes mellitus (T2D). Its mechanisms of action have been under extensive investigation, revealing that it has multiple cellular targets, either direct or indirect ones, via which it regulates numerous cellular pathways. Diabetic kidney disease (DKD), the serious complication of T2D, develops in up to 50% of the individuals with T2D. Various mechanisms contribute to the development of DKD, including hyperglycaemia, dyslipidemia, oxidative stress, chronic low-grade inflammation, altered autophagic activity and insulin resistance, among others. Metformin has been shown to affect these pathways, and thus, it could slow down or prevent the progression of DKD. Despite several animal studies demonstrating the renoprotective effects of metformin, there is no concrete evidence in clinical settings. This review summarizes the renoprotective effects of metformin in experimental settings. Special emphasis is on the effects of metformin on podocytes, the glomerular epithelial cells that are central in maintaining the glomerular ultrafiltration function. "
Reinforced Superhydrophobic Anti-Corrosion Epoxy Resin Coating by Fluorine–Silicon–Carbide Composites,"SiC was modified by fluorine-containing organic substance 1H,1H,2H,2H-trifluoro- noctyltriethoxysilane (FAS) to change its hydrophilicity from hydrophilic to superhydrophobic nanoparticles, and the optimum conditions for hydrophobicity were effectively explored. Then, different content of fluorine-modified SiC (F–SiC) nanoparticles were added to the epoxy resin (EP) matrix to prepare composite coating samples. The results showed that the surface of SiC was modified by FAS to show superhydrophobicity, and the dispersion in EP was significantly improved. After adding F–SiC, the hydrophobicity, wear resistance and corrosion resistance of the coating were significantly improved. In addition, the corrosion resistance of the composite coating containing different contents of F–SiC was analyzed through electrochemical and salt spray tests. The results showed that the corrosion resistance of the coating was the best when the addition amount was 3 wt %. In general, the composite coating with 3 wt % F–SiC had the best overall performance. Compared with the EP coating, the water contact angle of 3 wt % F–SiC/EP composite coating was increased by 62.9%, the friction coefficient was reduced by 73.5%, and the corrosion current was reduced by three orders of magnitude. This study provides a new idea for the development of ultra-wear-resistant and anti-fouling heavy-duty coatings. "
Evaluation of Volatilomic Fingerprint from Apple Fruits to Ciders: A Useful Tool to Find Putative Biomarkers for Each Apple Variety,"Aroma is a crucial criterion to assess the quality of apple fruits, juices, and ciders. The aim of this study was to explore similarities and differences in volatile profiles among apple fruits, juices, and ciders from different apple varieties (Festa, Branco, and Domingos) by headspace solid-phase microextraction gas chromatography–mass spectroscopy (HS–SPME/GC–MS). A total of 142 volatile organic compounds (VOCs) were identified, but only 9 were common in all analysed matrices and apple-tested varieties. Esters, alcohols, and aldehydes presented a higher concentration in apple fruits and juices, whereas esters, alcohols, and acids were dominant in ciders. Moreover, there were unique VOCs for each matrix and for each variety, highlighting the importance of the selection of apple varieties as an important factor to obtain good sensory and quality ciders, multiple benefits, and legal protection against the misuse of local products. "
"Comparative Study of Induction Motors of IE2, IE3 and IE4 Efficiency Classes in Pump Applications Taking into Account CO2 Emission Intensity","The high energy intensity of the modern industry and the threat of climate change determine the high urgency of increasing the energy efficiency of electric motors. In this paper, energy consumption, energy costs, payback periods, and CO2 emissions of 75 kW, 4 pole induction motors with direct grid supply in a fixed-speed pump unit are evaluated. Motors of the IE2, IE3, and IE4 efficiency classes according to IEC 60034-30-1 standard are compared in terms of life-time energy savings, payback period, and CO2 emissions. To carry out the analysis, polynomial interpolation of the data from the available manufacturer datasheets of the motors is used. It concluded that even though the initial investment cost of the IE4-motor is higher than that of IE3-motor, the IE4-motor is more profitable if more than 3 years of operation are considered and also provides significant reductions of CO2 emissions. The paper presents a calculation method of the aforementioned indicators which can be useful for companies, researchers, and engineers for quick assessment and selection of technical solutions. "
Role of Natural Killer Cells in Uveal Melanoma,"Uveal melanoma has a high mortality rate following metastasis to the liver. Despite advances in systemic immune therapy, treatment of metastatic uveal melanoma (MUM) has failed to achieve long term durable responses. Barriers to success with immune therapy include the immune regulatory nature of uveal melanoma as well as the immune tolerant environment of the liver. To adequately harness the anti-tumor potential of the immune system, non-T cell-based approaches need to be explored. Natural Killer (NK) cells possess potent ability to target tumor cells via innate and adaptive responses. In this review, we discuss evidence that highlights the role of NK cell surveillance and targeting of uveal melanoma. We also discuss the repertoire of intra-hepatic NK cells. The human liver has a vast and diverse lymphoid population and NK cells comprise 50% of the hepatic lymphocytes. Hepatic NK cells share a common niche with uveal melanoma micro-metastasis within the liver sinusoids. It is, therefore, crucial to understand and investigate the role of intra-hepatic NK cells in the control or progression of MUM. "
Is Interleukin 17 (IL-17) Expression A Common Point in the Pathogenesis of Depression and Obesity?,"(1) Background: Activated immune-inflammatory pathways play an important role in the pathogenesis of depression and pathological obesity. Obesity might promote production of cytokine interleukin 17, which plays a significant role in neuro-immune reactions. The study aimed at assessing the relationship between Body Mass Index (BMI) and IL-17 expression, taking into account the clinical psychiatric variables in patients with depression. (2) Methods: A total of 125 participants took part in the study (95 depressed patients, 30 healthy controls). Data concerning the course of depressive disorders and BMI were collected. The severity of depressive symptoms was assessed using the Hamilton Depression Rating Scale (HDRS). Reverse transcription polymerase chain reaction (RT-PCR) was used to assess IL-17 gene expression at the mRNA levels, while enzyme-linked immunosorbent assay (ELISA) was used to assess IL-17 expression at the protein level. (3) Results: Patients with more hospitalizations showed significantly higher IL-17 mRNA expression levels and higher BMI. However, no correlation between BMI and IL-17 expression was found in depressed patients. (4) Conclusions: Our study revealed that BMI does not affect IL-17 expression in patients with depression. However, further studies should be conducted to evaluate the effects of IL-17 inhibition on adipose tissue and vice versa. "
Equation Based New Methods for Residential Load Forecasting,"This work proposes two non-linear and one linear equation-based system for residential load forecasting considering heating degree days, cooling degree days, occupancy, and day type, which are applicable to any residential building with small sets of smart meter data. The coefficients of the proposed nonlinear and linear equations are tuned by particle swarm optimization (PSO) and the multiple linear regression method, respectively. For the purpose of comparison, a subtractive clustering based adaptive neuro fuzzy inference system (ANFIS), random forests, gradient boosting trees, and long-term short memory neural network, conventional and modified support vector regression methods were considered. Simulations have been performed in MATLAB environment, and all the methods were tested with randomly chosen 30 days data of a residential building in Memphis City for energy consumption prediction. The absolute average error, root mean square error, and mean average percentage errors are tabulated and considered as performance indices. The efficacy of the proposed systems for residential load forecasting over the other systems have been validated by both simulation results and performance indices, which indicate that the proposed equation-based systems have the lowest absolute average errors, root mean square errors, and mean average percentage errors compared to the other methods. In addition, the proposed systems can be easily practically implemented. "
ON THE OPTICAL–X-RAY CORRELATION FROM OUTBURST TO QUIESCENCE IN LOW-MASS X-RAY BINARIES: THE REPRESENTATIVE CASES OF V404 CYG AND CEN X-4,"The Astrophysical Journal, 826(2016) 149. doi:10.3847/0004-637X/826/2/149 "
Performance of Three Different Native Plant Mixtures for Extensive Green Roofs in a Humid Subtropical Climate Context,"Most of the services and benefits of green roofs are related to the substrate as well as the vegetation layer. Although plant selection should be made on the basis of green roof typology, morphology, and climate conditions, very often, Sedum species only are used worldwide. However, they do not always guarantee the best performances; hence, it is important to investigate different plant species and their performance in different climate contexts. Herein, an experiment was conducted using three plant mixes (i.e., a Sedum mix, a perennial herbaceous mix, and a suffruticose mix), grown in boxes containing two substrates (a volcanic substrate or a recycled crushed brick substrate) and two drainage/storage layers (a preformed layer or a mineral layer), in factorial combination. The Sedum mix showed a high canopy cover, comparable to or even higher than that of the other mixes, particularly when supplemental irrigation was stopped. However, the actual crop coefficient (Kc act) of the herbaceous and suffruticose mixes was often higher than that of the Sedum mix. The results also showed that both the substrate and the drainage/storage layer may improve Kc act values as a consequence of their capacity for stormwater retention. "
Comprehensive Analysis Reveals Novel Interactions between Circulating MicroRNAs and Gut Microbiota Composition in Human Obesity,"Background: The determinants that mediate the interactions between microRNAs and the gut microbiome impacting on obesity are scarcely understood. Thus, the aim of this study was to investigate possible interactions between circulating microRNAs and gut microbiota composition in obesity. Method: The sample comprised 78 subjects with obesity (cases, body mass index (BMI): 30–40 kg/m2) and 25 eutrophic individuals (controls, BMI  25 kg/m2). The expression of 96 microRNAs was investigated in plasma of all individuals using miRCURY LNA miRNA Custom PCR Panels. Bacterial DNA sequencing was performed following the Illumina 16S protocol. The FDR correction was used for multiple comparison analyses. Results: A total of 26 circulating microRNAs and 12 bacterial species were found differentially expressed between cases and controls. Interestingly, an interaction among three miRNAs (miR-130b-3p, miR-185-5p and miR-21-5p) with Bacteroides eggerthi and BMI levels was evidenced (r2 "
Blended Natural Support Materials—Collagen Based Hydrogels Used in Biomedicine,"Due to their unique properties—the are biocompatible, easily accessible, and inexpensive with programmable properties—biopolymers are used in pharmaceutical and biomedical research, as well as in cosmetics and food. Collagen is one of the most-used biomaterials in biomedicine, being the most abundant protein in animals with a triple helices structure, biocompatible, biomimetic, biodegradable, and hemostatic. Its disadvantages are its poor mechanical and thermal properties and enzymatic degradation. In order to solve this problem and to use its benefits, collagen can be used blended with other biomaterials such as alginate, chitosan, and cellulose. The purpose of this review article is to offer a brief paper with updated information on blended collagen-based formulations and their potential application in biomedicine. "
Real-Time Monitoring for Hydraulic States Based on Convolutional Bidirectional LSTM with Attention Mechanism,"By monitoring a hydraulic system using artificial intelligence, we can detect anomalous data in a manufacturing workshop. In addition, by analyzing the anomalous data, we can diagnose faults and prevent failures. However, artificial intelligence, especially deep learning, needs to learn much data, and it is often difficult to get enough data at the real manufacturing site. In this paper, we apply augmentation to increase the amount of data. In addition, we propose real-time monitoring based on a deep-learning model that uses convergence of a convolutional neural network (CNN), a bidirectional long short-term memory network (BiLSTM), and an attention mechanism. CNN extracts features from input data, and BiLSTM learns feature information. The learned information is then fed to the sigmoid classifier to find out if it is normal or abnormal. Experimental results show that the proposed model works better than other deep-learning models, such as CNN or long short-term memory (LSTM). "
Prospects for NK Cell Therapy of Sarcoma,"Natural killer (NK) cells are innate lymphoid cells with potent antitumor activity. One of the most NK cell cytotoxicity-sensitive tumor types is sarcoma, an aggressive mesenchyme-derived neoplasm. While a combination of radical surgery and radio- and chemotherapy can successfully control local disease, patients with advanced sarcomas remain refractory to current treatment regimens, calling for novel therapeutic strategies. There is accumulating evidence for NK cell-mediated immunosurveillance of sarcoma cells during all stages of the disease, highlighting the potential of using NK cells as a therapeutic tool. However, sarcomas display multiple immunoevasion mechanisms that can suppress NK cell function leading to an uncontrolled tumor outgrowth. Here, we review the current evidence for NK cells’ role in immune surveillance of sarcoma during disease initiation, promotion, progression, and metastasis, as well as the molecular mechanisms behind sarcoma-mediated NK cell suppression. Further, we apply this basic understanding of NK–sarcoma crosstalk in order to identify and summarize the most promising candidates for NK cell-based sarcoma immunotherapy. "
Liposomes Targeting P21 Activated Kinase-1 (PAK-1) and Selective for Secretory Phospholipase A2 (sPLA2) Decrease Cell Viability and Induce Apoptosis in Metastatic Triple-Negative Breast Cancer Cells,"P21 activated kinases (or group I PAKs) are serine/threonine kinases whose expression is altered in prostate and breast cancers. PAK-1 activity is inhibited by the small molecule “Inhibitor targeting PAK-1 activation-3” (IPA-3), which has selectivity for PAK-1 but is metabolically unstable. Secretory Group IIA phospholipase A2 (sPLA2) expression correlates to increased metastasis and decreased survival in many cancers. We previously designed novel liposomal formulations targeting both PAK-1 and sPLA2, called Secretory Phospholipase Responsive liposomes or SPRL-IPA-3, and demonstrated their ability to alter prostate cancer growth. The efficacy of SPRL against other types of cancers is not well understood. We addressed this limitation by determining the ability of SPRL to induce cell death in a diverse panel of cells representing different stages of breast cancer, including the invasive but non-metastatic MCF-7 cells, and metastatic triple-negative breast cancer (TNBC) cells such as MDA-MB-231, MDA-MB-468, and MDA-MB-435. We investigated the role of sPLA2 in the disposition of these liposomes by comparing the efficacy of SPRL-IPA-3 to IPA-3 encapsulated in sterically stabilized liposomes (SSL-IPA-3), a formulation shown to be less sensitive to sPLA2. Both SSL-IPA-3 and SPRL-IPA-3 induced time- and dose-dependent decreases in MTT staining in all cell lines tested, but SPRL-IPA-3-induced effects in metastatic TNBC cell lines were superior over SSL-IPA-3. The reduction in MTT staining induced by SPRL-IPA-3 correlated to the expression of Group IIA sPLA2. sPLA2 expression also correlated to increased induction of apoptosis in TNBC cell lines by SPRL-IPA-3. These data suggest that SPRL-IPA-3 is selective for metastatic TNBC cells and that the efficacy of SPRL-IPA-3 is mediated, in part, by the expression of Group IIA sPLA2. "
Genome-Wide Novel Genic Microsatellite Marker Resource Development and Validation for Genetic Diversity and Population Structure Analysis of Banana,"Trait tagging through molecular markers is an important molecular breeding tool for crop improvement. SSR markers encoded by functionally relevant parts of a genome are well suited for this task because they may be directly related to traits. However, a limited number of these markers are known for Musa spp. Here, we report 35136 novel functionally relevant SSR markers (FRSMs). Among these, 17,561, 15,373 and 16,286 FRSMs were mapped in-silico to the genomes of Musa acuminata, M. balbisiana and M. schizocarpa, respectively. A set of 273 markers was validated using eight accessions of Musa spp., from which 259 markers (95%) produced a PCR product of the expected size and 203 (74%) were polymorphic. In-silico comparative mapping of FRSMs onto Musa and related species indicated sequence-based orthology and synteny relationships among the chromosomes of Musa and other plant species. Fifteen FRSMs were used to estimate the phylogenetic relationships among 50 banana accessions, and the results revealed that all banana accessions group into two major clusters according to their genomic background. Here, we report the first large-scale development and characterization of functionally relevant Musa SSR markers. We demonstrate their utility for germplasm characterization, genetic diversity studies, and comparative mapping in Musa spp. and other monocot species. The sequences for these novel markers are freely available via a searchable web interface called Musa Marker Database. "
An Integrated Pharmacophore/Docking/3D-QSAR Approach to Screening a Large Library of Products in Search of Future Botulinum Neurotoxin A Inhibitors,"Botulinum toxins are neurotoxins produced by Clostridium botulinum. This toxin can be lethal for humans as a cause of botulism; however, in small doses, the same toxin is used to treat different conditions. Even if the therapeutic doses are effective and safe, the adverse reactions could be local and could unmask a subclinical impairment of neuromuscular transmissions. There are not many cases of adverse events in the literature; however, it is possible that sometimes they do not occur as they are transient and, if they do occur, there is no possibility of a cure other than to wait for the pharmacological effect to end. Inhibition of botulinum neurotoxin type A (BoNT/A) effects is a strategy for treating botulism as it can provide an effective post-exposure remedy. In this paper, 13,592,287 compounds were screened through a pharmacophore filter, a 3D-QSAR model, and a virtual screening; then, the compounds with the best affinity were selected. Molecular dynamics simulation studies on the first four compounds predicted to be the most active were conducted to verify that the poses foreseen by the docking were stable. This approach allowed us to identify compounds with a calculated inhibitory activity in the range of 316–500 nM. "
MC2: MAPPING THE DARK MATTER DISTRIBUTION OF THE “TOOTHBRUSH” CLUSTER RX J0603.3+4214 WITH HUBBLE SPACE TELESCOPE AND SUBARU WEAK LENSING,"The Astrophysical Journal, 817(2016) 179. doi:10.3847/0004-637X/817/2/179 "
Sustainability in FinTechs: An Explanation through Business Model Scalability and Market Valuation,"Framework: Financial Technology (FinTech) is an industry composed of diversified firms that combine financial services with innovative technologies. The research question and main goal are attempting to answer whether they are more similar to traditional banks or trendy technological firms deploying their innovativeness to favor financial inclusion and sustainability. Justification: Evaluators may wonder if FinTechs follow the typical evaluation patterns of bank/financial intermediaries or those of technological firms. Preliminary empirical evidence shows that the latter interpretation is the one consistent with the stock-market mood. Objective: This study goes beyond the extant literature, analyzing the differences between FinTechs and traditional banks in market valuation, and showing the potential for digital interaction and cross-pollination of complementary business models. Methodology: The differences will be empirically analyzed with the stock market valuation and the multipliers associated with these firms. Results: The main contribution of this paper is that the appraisal approaches of FinTechs follow those of technological startups, having a revenue model much more scalable than that of a typical bank. FinTechs may so provide a solution for sustainable finance with microfinance and crowdfunding among others. FinTechs and traditional banks may eventually converge towards a common market exploiting co-opetition strategies. "
Implications of Metastable Nicks and Nicked Holliday Junctions in Processing Joint Moleculesin Mitosis and Meiosis,"Joint molecules (JMs) are intermediates of homologous recombination (HR). JMs rejoin sister or homolog chromosomes and must be removed timely to allow segregation in anaphase. Current models pinpoint Holliday junctions (HJs) as a central JM. The canonical HJ (cHJ) is a four-way DNA that needs specialized nucleases, a.k.a. resolvases, to resolve into two DNA molecules. Alternatively, a helicase–topoisomerase complex can deal with pairs of cHJs in the dissolution pathway. Aside from cHJs, HJs with a nick at the junction (nicked HJ; nHJ) can be found in vivo and are extremely good substrates for resolvases in vitro. Despite these findings, nHJs have been neglected as intermediates in HR models. Here, I present a conceptual study on the implications of nicks and nHJs in the final steps of HR. I address this from a biophysical, biochemical, topological, and genetic point of view. My conclusion is that they ease the elimination of JMs while giving genetic directionality to the final products. Additionally, I present an alternative view of the dissolution pathway since the nHJ that results from the second end capture predicts a cross-join isomerization. Finally, I propose that this isomerization nicely explains the strict crossover preference observed in synaptonemal-stabilized JMs in meiosis. "
Treatment of Electroplating Wastewater Using NF pH-Stable Membranes: Characterization and Application,"Industrial adoption of nanofiltration (NF) for treatment of low-pH wastewater is hindered by the limited membrane lifetime at strongly acidic conditions. In this study, the electroplating wastewater (EPWW) filtration performance of a novel pH-stable NF membrane is compared against a commercial NF membrane and a reverse osmosis (RO) membrane. The presented membrane is relatively hydrophobic and has its isoelectric point (IEP) at pH 4.1, with a high and positive zeta potential of +10 mV at pH 3. A novel method was developed to determine the molecular weight cut-off (MWCO) at a pH of 2, with a finding that the membrane maintains the same MWCO (~500 Da) as under neutral pH operating conditions, whereas the commercial membrane significantly increases it. In crossflow filtration experiments with simulated EPWW, rejections above 75% are observed for all heavy metals (compared to only 30% of the commercial membrane), while keeping the same pH in the feed and permeate. Despite the relatively lower permeance of the prepared membrane (~1 L/(m2hbar) versus ~4 L/(m2hbar) of the commercial membrane), its high heavy metals rejection coupled with a very low acid rejection makes it suitable for acid recovery applications. "
Reconstructing Nonparametric Productivity Networks,"Network models provide a general representation of inter-connected system dynamics. This ability to connect systems has led to a proliferation of network models for economic productivity analysis, primarily estimated non-parametrically using Data Envelopment Analysis (DEA). While network DEA models can be used to measure system performance, they lack a statistical framework for inference, due in part to the complex structure of network processes. We fill this gap by developing a general framework to infer the network structure in a Bayesian sense, in order to better understand the underlying relationships driving system performance. Our approach draws on recent advances in information science, machine learning and statistical inference from the physics of complex systems to estimate unobserved network linkages. To illustrate, we apply our framework to analyze the production of knowledge, via own and cross-disciplinary research, for a world-country panel of bibliometric data. We find significant interactions between related disciplinary research output, both in terms of quantity and quality. In the context of research productivity, our results on cross-disciplinary linkages could be used to better target research funding across disciplines and institutions. More generally, our framework for inferring the underlying network production technology could be applied to both public and private settings which entail spillovers, including intra- and inter-firm managerial decisions and public agency coordination. This framework also provides a systematic approach to model selection when the underlying network structure is unknown. "
"ERRATUM: “A CHANDRA STUDY OF THE INTERSTELLAR METALLICITY IN THE LARGE MAGELLANIC CLOUD USING SUPERNOVA REMNANTS” (2016, AJ, 151, 6, 161)","The Astronomical Journal, 152(2016) 110. doi:10.3847/0004-6256/152/4/110 "
"GLOBULAR CLUSTERS, ULTRACOMPACT DWARFS, AND DWARF GALAXIES IN ABELL 2744 AT A REDSHIFT OF 0.308","The Astrophysical Journal, 831(2016) 108. doi:10.3847/0004-637X/831/1/108 "
The Effect of Trust on the Various Dimensions of Climate Change Attitudes,"The struggle against climate change will not be successful without a sufficient level of collective action. However, a necessary precondition for this is the existence of trust between people. The literature on trust and attitudes to climate change is displaying a growing tendency, and today the results of numerous empirical studies are available. Although, for the time being, on the basis of these studies, we only have a fragmented picture from which it appears that trust is having a significant effect on attitudes to climate change at both the micro and macro levels. The current paper tries to progress on this path and reveal the role of trust in various dimensions of the attitude to climate change using the data of the European Social Survey originating from 22 countries. The results show that while climate change beliefs and climate concern display no relationship with trust, neither on the individual or national level, trust does have a clear effect on the feeling of individual responsibility in connection with climate change and on support for the various policy measures. In addition, it is also investigated whether the effect of trust can be shown to exist in the relationships between climate concern and the feeling of individual responsibility, and climate concern and policy support. The results show that in both cases the relationship is stronger in those countries characterized by a higher level of social trust. "
Non-Thermal Plasma Coupled with Catalyst for the Degradation of Water Pollutants: A Review,"Non-thermal plasma is one of the most promising technologies used for the degradation of hazardous pollutants in wastewater. Recent studies evidenced that various operating parameters influence the yield of the Non-Thermal Plasma (NTP)-based processes. In particular, the presence of a catalyst, suitably placed in the NTP reactor, induces a significant increase in process performance with respect to NTP alone. For this purpose, several researchers have studied the ability of NTP coupled to catalysts for the removal of different kind of pollutants in aqueous solution. It is clear that it is still complicated to define an optimal condition that can be suitable for all types of contaminants as well as for the various types of catalysts used in this context. However, it was highlighted that the operational parameters play a fundamental role. However, it is often difficult to understand the effect that plasma can induce on the catalyst and on the production of the oxidizing species most responsible for the degradation of contaminants. For this reason, the aim of this review is to summarize catalytic formulations coupled with non-thermal plasma technology for water pollutants removal. In particular, the reactor configuration to be adopted when NTP was coupled with a catalyst was presented, as well as the position of the catalyst in the reactor and the role of the main oxidizing species. Furthermore, in this review, a comparison in terms of degradation and mineralization efficiency was made for the different cases studied. "
Interactive Robot for Playing Russian Checkers,"Human–robot interaction in board games is a rapidly developing field of robotics. This paper presents a robot capable of playing Russian checkers designed for entertaining, training, and research purposes. Its control program is based on a novel unsupervised self-learning algorithm inspired by AlphaZero and represents the first successful attempt of using this approach in the checkers game. The main engineering challenge in mechanics is to develop a board state acquisition system non-sensitive to lighting conditions, which is achieved by rejecting computer vision and utilizing magnetic sensors instead. An original robot face is designed to endow the robot an ability to express its attributed emotional state. Testing the robot at open-air multiday exhibitions shows the robustness of the design to difficult exploitation conditions and the high interest of visitors to the robot. "
"Feed Intake, Methane Emissions, Milk Production and Rumen Methanogen Populations of Grazing Dairy Cows Supplemented with Various C 18 Fatty Acid Sources","Emissions of methane (CH4) from dairy production systems are environmentally detrimental and represent an energy cost to the cow. This study evaluated the effect of varying C18 fatty acid sources on CH4 emissions, milk production and rumen methanogen populations in grazing lactating dairy cows. Forty-five Holstein Friesian cows were randomly allocated to one of three treatments (n "
Systematic Analysis of the Relative Abundance of Polymers Occurring as Microplastics in Freshwaters and Estuaries,"Despite growing interest in the environmental impact of microplastics, a standardized characterization method is not available. We carried out a systematic analysis of reliable global data detailing the relative abundance of polymers in freshwaters and estuaries. The polymers were identified according to seven main categories: polyethylene terephthalate, polyethylene, polyvinyl chloride, polypropylene, polystyrene, polyurethane and a final category of miscellaneous plastic. The results show that microplastics comprised of polyvinyl chloride and polyurethane are significantly less abundant than would be expected based on global production, possibly due to their use. This has implications for models of microplastic release into the environment based on production and fate. When analysed by matrix (water, sediment or biota) distinct profiles were obtained for each category. Polyethylene, polypropylene and polystyrene were more abundant in sediment than in biota, while miscellaneous plastics was more frequent in biota. The data suggest that environmental sorting of microplastic particles, influenced by physical, chemical and biological processes, may play a key role in environmental impact, although partitioning among matrices based on density was not realized. The distinct profile of microplastics in biota raises an important question regarding potential selectivity in uptake by organisms, highlighting the priority for more and better-informed laboratory exposure studies. "
Unusual Faces of Bladder Cancer,"The overwhelming majority of bladder cancers are transitional cell carcinomas. Albeit mostly monotonous, carcinomas in the bladder may occasionally display a broad spectrum of histological features that should be recognized by pathologists because some of them represent a diagnostic problem and/or lead prognostic implications. Sometimes these features are focal in the context of conventional transitional cell carcinomas, but some others are generalized across the tumor making its recognition a challenge. For practical purposes, the review distributes the morphologic spectrum of changes in architecture and cytology. Thus, nested and large nested, micropapillary, myxoid stroma, small tubules and adenoma nephrogenic-like, microcystic, verrucous, and diffuse lymphoepithelioma-like, on one hand, and plasmacytoid, signet ring, basaloid-squamous, yolk-sac, trophoblastic, rhabdoid, lipid/lipoblastic, giant, clear, eosinophilic (oncocytoid), and sarcomatoid, on the other, are revisited. Key histological and immunohistochemical features useful in the differential diagnosis are mentioned. In selected cases, molecular data associated with the diagnosis, prognosis, and/or treatment are also included. "
